time,dispatch
1731078140705653765,0
1731078140805653773,48.31999613440031
1731078140905653881,49.55994647525781
1731078141005653869,46.08000552960066
1731078141105653917,52.35997486721207
1731078141205654025,32.47996492163789
1731078141305654063,46.159982459206674
1731078141405654071,49.55999603520032
1731078141505654078,49.23999655320024
1731078141605654086,48.799996096000314
1731078141705654104,48.91999119440159
1731078141805654152,49.27997634561136
1731078141905654330,49.479911925756774
1731078142005654278,49.040025500813265
1731078142105654436,48.75992295932173
1731078142205654564,44.599942912073075
1731078142305654652,54.07995240964188
1731078142405654609,37.52001613360694
1731078142505654537,45.5200327744236
1731078142605654575,51.27998051360741
1731078142705654713,48.3599332632921
1731078142805654871,47.67992466571903
1731078142905654959,44.91996047043479
1731078143005655047,54.15995233924195
1731078143105655135,35.7599685312277
1731078143205655123,46.56000558720067
1731078143305655120,49.00000147000005
1731078143405655178,49.35997137121661
1731078143505655346,48.039919292935586
1731078143605655304,49.20002066400868
1731078143705655392,48.519957302437575
1731078143805655430,50.079980969607234
1731078143905655608,48.95991285135513
1731078144005655556,49.520025750413396
1731078144105655594,49.27998127360712
1731078144205655631,49.11998182560673
1731078144305655669,49.75998109120719
1731078144405655717,48.359976787211146
1731078144505655895,48.19991420415272
1731078144605655963,19.99998640000925
1731078144705656131,81.55986297943019
1731078144805656189,0.9599994432003229
1731078144905656187,41.36000082720002
1731078145005656165,53.8400118448026
1731078145105656132,48.800016104005316
1731078145205656200,48.95996670722264
1731078145305656408,49.99989600021632
1731078145405656396,48.36000580320069
1731078145505656324,49.64003574082574
1731078145605656402,48.51996215442952
1731078145705656339,44.16002782081753
1731078145805656467,19.83997460483251
1731078145905656756,46.43986578878787
1731078146005656834,1.0799991576006571
1731078146105656872,46.03998250480665
1731078146205656960,32.199971664024936
1731078146305657148,45.799913896161875
1731078146405657236,20.35998208321577
1731078146505657404,46.11992251853017
1731078146605657371,33.000010890003594
1731078146705657379,44.31999645440029
1731078146805657507,42.23994593286921
1731078146905657776,33.63990950864343
1731078147005657954,45.799918476145116
1731078147105658012,0.7599995592002557
1731078147205658130,46.519945106464775
1731078147305658187,16.199990766005264
1731078147405658135,45.80002381601239
1731078147505658163,30.19999154400237
1731078147605658261,46.199954724044375
1731078147705658439,20.35996375926451
1731078147805658417,41.88000921360203
1731078147905658525,52.679943105661444
1731078148005658663,0.9999986200019044
1731078148105658681,45.51999180640148
1731078148205658719,49.87998104560721
1731078148305658716,0.24000000720000023
1731078148405658734,46.59999161200151
1731078148505658642,45.20004158403826
1731078148605658640,33.44000066880002
1731078148705658667,42.719988465603116
1731078148805658745,53.35995837923247
1731078148905658713,0.0
1731078149005658641,45.88003303362378
1731078149105658689,33.8399837568078
