time,target,error,control_output,wiops_output
1731078140705653765,50,50,264239,264239
1731078140805653773,50,1.6800038655996872,36704,36704
1731078140905653881,50,0.44005352474218995,30865,30865
1731078141005653869,50,3.919994470399338,49509,49509
1731078141105653917,50,-2.359974867212067,18578,18578
1731078141205654025,50,17.520035078362113,122281,122281
1731078141305654063,50,3.840017540793326,57863,57863
1731078141405654071,50,0.4400039647996792,41852,41852
1731078141505654078,50,0.7600034467997574,43359,43359
1731078141605654086,50,1.2000039039996864,45431,45431
1731078141705654104,50,1.0800088055984105,44866,44866
1731078141805654152,50,0.7200236543886405,43171,43171
1731078141905654330,50,0.5200880742432261,42229,42229
1731078142005654278,50,0.9599744991867354,44301,44301
1731078142105654436,50,1.2400770406782726,45620,45620
1731078142205654564,50,5.400057087926925,65209,65209
1731078142305654652,50,-4.0799524096418835,18219,18219
1731078142405654609,50,12.479983866393063,103385,103385
1731078142505654537,50,4.479967225576402,65713,65713
1731078142605654575,50,-1.2799805136074127,37853,37853
1731078142705654713,50,1.640066736707901,51603,51603
1731078142805654871,50,2.320075334280972,54806,54806
1731078142905654959,50,5.080039529565212,67802,67802
1731078143005655047,50,-4.159952339241947,21896,21896
1731078143105655135,50,14.240031468772301,116740,116740
1731078143205655123,50,3.4399944127993294,65884,65884
1731078143305655120,50,0.9999985299999494,54394,54394
1731078143405655178,50,0.6400286287833907,52699,52699
1731078143505655346,50,1.9600807070644137,58915,58915
1731078143605655304,50,0.799979335991317,53452,53452
1731078143705655392,50,1.4800426975624248,56655,56655
1731078143805655430,50,-0.07998096960723444,49263,49263
1731078143905655608,50,1.0400871486448722,54537,54537
1731078144005655556,50,0.4799742495866042,51899,51899
1731078144105655594,50,0.7200187263928797,53030,53030
1731078144205655631,50,0.8800181743932711,53783,53783
1731078144305655669,50,0.24001890879281262,50769,50769
1731078144405655717,50,1.6400232127888543,57362,57362
1731078144505655895,50,1.8000857958472807,58116,58116
1731078144605655963,50,30.00001359999075,190907,190907
1731078144705656131,50,-31.559862979430193,-117147,-117147
1731078144805656189,50,49.040000556799676,290631,290631
1731078144905656187,50,8.639999172799982,100390,100390
1731078145005656165,50,-3.8400118448026035,39412,39412
1731078145105656132,50,1.1999838959946842,63145,63145
1731078145205656200,50,1.040033292777359,62391,62391
1731078145305656408,50,0.00010399978368269558,57495,57495
1731078145405656396,50,1.6399941967993072,65217,65217
1731078145505656324,50,0.3599642591742622,59189,59189
1731078145605656402,50,1.4800378455704788,64463,64463
1731078145705656339,35,-9.160027820817533,9085,9085
1731078145805656467,35,15.16002539516749,132337,132337
1731078145905656756,35,-11.43986578878787,492,492
1731078146005656834,35,33.92000084239934,233621,233621
