time,target,error,control_output,wiops_output
1731078208864972077,50,50,264239,264239
1731078208964972034,50,0.279978620390807,30111,30111
1731078209064972213,50,1.7600863494454302,38094,38094
1731078209164972441,50,4.760103146964823,52221,52221
1731078209264972549,50,4.200049463946577,49584,49584
1731078209364972687,50,-2.759927191300477,15221,15221
1731078209464972925,50,24.88005978545771,159703,159703
1731078209564972963,50,4.360017343193405,63076,63076
1731078209664973191,50,1.440110716547565,49326,49326
1731078209764973500,50,-0.2798446352800781,41066,41066
1731078209864973758,50,0.9601265228735727,46905,46905
1731078209964973886,50,1.0000627199197112,47093,47093
1731078210064973833,50,0.9599740087862187,46904,46904
1731078210164973992,50,0.5600786094750063,45021,45021
1731078210264974200,50,1.0001019197880083,47093,47093
1731078210364974208,50,0.8800039295996811,46527,46527
1731078210464974185,50,4.359989502797589,62914,62914
1731078210564974243,50,-2.239969700817575,30546,30546
1731078210664974471,50,2.520108254153179,54412,54412
1731078210764974780,50,1.6001495555378753,50080,50080
1731078210864974848,50,-1.2399651568236933,35992,35992
1731078210964974906,50,0.6000286519833793,44656,44656
1731078211064974873,50,0.5599836847946165,44468,44468
1731078211164975021,50,0.8800726974924089,45975,45975
1731078211264975320,50,1.4001453135655098,48424,48424
1731078211364975458,50,0.04006894470484923,42019,42019
1731078211464975425,50,0.7199837375946316,45221,45221
1731078211564975463,50,0.6400187567928697,44844,44844
1731078211664975531,50,0.6400335647771769,44845,44845
1731078211764975699,50,0.5200831262603458,44280,44280
1731078211864975767,50,1.1600332111774136,47293,47293
1731078211964976036,50,3.040126322060189,56146,56146
1731078212064976154,50,-1.5599391592717922,33587,33587
1731078212164976181,50,1.4800131003964552,48754,48754
1731078212264976159,50,0.07998901759758326,42161,42161
1731078212364976247,50,1.280042873562266,47812,47812
1731078212464976265,50,0.7600088631984008,45363,45363
1731078212564976493,50,0.8001121757442391,45552,45552
1731078212664976441,50,0.31997416638655807,43291,43291
1731078212764976469,50,1.080013697596165,46870,46870
1731078212864976436,50,1.3199839355946992,48000,48000
1731078212964976384,50,0.15997408318651907,42538,42538
1731078213064976512,50,0.8400629247194544,45740,45740
1731078213164976480,50,1.6799845375950468,49696,49696
1731078213264976447,50,-0.5600166848055039,38825,38825
1731078213364976515,50,1.1200332383773954,46736,46736
1731078213464976673,50,0.36007843107607584,43158,43158
1731078213564976691,50,0.7200088703984022,44853,44853
1731078213664976699,50,0.8000039359996833,45229,45229
1731078213764976667,35,-14.00001568000502,-32524,-32524
1731078213864976825,35,33.240002780795606,209066,209066
1731078213964976903,35,-10.319964650427572,-1996,-1996
1731078214064976961,35,33.48000088159949,223534,223534
