time,target,error,control_output,wiops_output
1731078246932517731,50,50,264239,264239
1731078247032517759,50,-1.1199856864040072,22874,22874
1731078247132517687,50,6.719968838377561,63661,63661
1731078247232517735,50,2.880022617589141,45579,45579
1731078247332517722,50,8.599994617999293,72514,72514
1731078247432517770,50,-6.799972736013089,-3918,-3918
1731078247532518049,50,48.20000502198599,282829,282829
1731078247632518317,50,3.4001248876652994,71869,71869
1731078247732518455,50,0.9200677303065277,60191,60191
1731078247832518483,50,1.2800136415961774,61886,61886
1731078247932518410,50,0.679963996373715,59060,59060
1731078248032518408,50,0.9999990199999758,60567,60567
1731078248132518456,50,1.0000235199887086,60568,60568
1731078248232518454,50,0.7199990143999742,59249,59249
1731078248332518562,50,1.040052876742891,60756,60756
1731078248432518820,50,0.6001274516711774,58684,58684
1731078248532518978,50,0.9200775462774757,60191,60191
1731078248632518916,50,0.5999693719810111,58684,58684
1731078248732518974,50,0.920028466383485,60191,60191
1731078248832519042,50,0.6800335375771951,59061,59061
1731078248932519230,50,1.6800908414292124,63770,63770
1731078249032519358,50,3.200059903923318,70927,70927
1731078249132519466,50,-2.719943062461496,41484,41484
1731078249232519444,50,0.8399891847976235,58248,58248
1731078249332519471,50,2.680012776396545,66912,66912
1731078249432519439,50,-1.1600163712052378,48162,48162
1731078249532519567,50,4.00005887992463,72460,72460
1731078249632519765,50,1.1600967030085272,59087,59087
1731078249732519793,50,-3.0799851376041616,37347,37347
1731078249832519761,50,0.9999843199949794,56559,56559
1731078249932519688,50,0.959964200773868,56371,56371
1731078250032519736,50,0.48002376958858406,54111,54111
1731078250132519864,50,3.200059903923318,66919,66919
1731078250232520083,50,-1.1998878722455615,45509,45509
1731078250332520331,50,0.6801223132966641,54362,54362
1731078250432520449,50,-0.039940952869677915,50948,50948
1731078250532520587,50,0.7600679511062225,54716,54716
1731078250632520715,50,1.0400626687197772,56034,56034
1731078250732520813,50,0.8800481375528193,55281,55281
1731078250832520791,50,0.7599891671976167,54715,54715
1731078250932520848,50,1.0400279071840899,56034,56034
1731078251032521107,50,0.9201271168707663,55469,55469
1731078251132521385,50,0.9601363308210011,55658,55658
1731078251232521623,50,0.8401170005215377,55093,55093
1731078251332521882,50,0.56012804926835,53774,53774
1731078251432522120,50,0.7601171909210862,54716,54716
1731078251532522398,50,0.9201364420206914,55469,55469
1731078251632522626,50,0.7201123581438225,54527,54527
1731078251732522844,50,1.0401067325673168,56034,56034
1731078251832522752,50,0.9199548463584506,55469,55469
1731078251932522860,35,-14.079946993657245,-23272,-23272
1731078252032522788,35,33.079998617599,217849,217849
1731078252132522936,35,-11.99993044010295,-1338,-1338
1731078252232523094,35,33.120002970395305,230200,230200
1731078252332523202,35,-11.479949801654215,13571,13571
1731078252432523390,35,13.680040081524645,139925,139925
1731078252532523328,35,-12.000029140018064,12090,12090
1731078252632523366,35,15.520007402397184,150617,150617
1731078252732523323,35,-12.000020210008692,14117,14117
1731078252832523311,35,1.3599959631995162,77811,77811
