time,target,error,control_output,wiops_output
1731078315070143039,50,50,264239,264239
1731078315170143057,50,-1.59999071200167,20337,20337
1731078315270143165,50,15.880036849560199,111794,111794
1731078315370143313,50,2.8800697374967896,50578,50578
1731078315470143280,50,1.439983975194714,43797,43797
1731078315570143308,50,2.320013350396259,47941,47941
1731078315670143386,50,-1.0799601576310778,31309,31309
1731078315770143574,50,3.120088134234308,52883,52883
1731078315870143642,50,-0.9599653472235659,33118,33118
1731078315970143840,50,1.0400969406080591,43135,43135
1731078316070143788,50,1.6799748735869287,46148,46148
1731078316170143836,50,1.2800233855887697,44265,44265
1731078316270143904,50,4.600030871979008,59898,59898
1731078316370144042,50,0.7200680063061498,41628,41628
1731078316470144180,50,-2.4799275776999465,25131,25131
1731078316570144258,50,5.440034756772889,65558,65558
1731078316670144406,50,4.3200676062999435,60285,60285
1731078316770144514,50,1.8000520559437803,48418,48418
1731078316870144652,50,-2.6399273569002517,25990,25990
1731078316970144860,50,2.600098591794932,52162,52162
1731078317070144888,50,0.5200138543961188,42368,42368
1731078317170144805,50,1.2399595291664056,45758,45758
1731078317270144863,50,-2.159969747217552,28504,28504
1731078317370144911,50,0.640023692788624,42057,42057
1731078317470145200,50,3.08013559840812,53548,53548
1731078317570145298,50,-0.8399501768488307,34605,34605
1731078317670145315,50,2.480008078398626,51666,51666
1731078317770145393,50,0.4800386255698754,42248,42248
1731078317870145381,50,-1.2000061440007386,33646,33646
1731078317970145349,50,1.4399844607950243,46907,46907
1731078318070145387,50,13.560013847194732,103979,103979
1731078318170145304,50,-12.24005165924288,-24559,-24559
1731078318270145352,50,49.800000095999955,296260,296260
1731078318370145330,50,3.0399896687977233,76071,76071
1731078318470145288,50,0.6799792855912941,64958,64958
1731078318570145335,50,1.0000230299891726,66465,66465
1731078318670145403,50,0.6400335647771769,64770,64770
1731078318770145331,50,1.2399648927747222,67595,67595
1731078318870145349,50,1.9600086471984426,70985,70985
1731078318970145387,50,-0.8799806656073557,57105,57105
1731078319070145445,50,0.8400285127834621,65205,65205
1731078319170145573,50,0.9200628223195793,65581,65581
1731078319270145701,50,1.120062566319909,66523,66523
1731078319370145969,50,0.8401317484469075,65205,65205
1731078319470146067,50,1.000048019952935,65958,65958
1731078319570146135,50,0.7600334831772315,64828,64828
1731078319670146133,50,1.2799990255999774,67276,67276
1731078319770146130,50,0.9199985275999509,65581,65581
1731078319870146148,50,2.8400084887984676,74622,74622
1731078319970146106,35,-16.12002147040902,-23941,-23941
1731078320070146104,35,34.0799999816,232071,232071
1731078320170146081,35,-11.680010736402465,9865,9865
1731078320270146209,35,19.000020479973784,165276,165276
1731078320370146378,35,-11.439921516532635,15349,15349
1731078320470146435,35,3.8800177383898884,89724,89724
1731078320570146664,35,-12.319891637448151,6345,6345
1731078320670146681,35,24.6400017611997,194576,194576
1731078320770146729,35,-11.799977536010786,16188,16188
1731078320870146837,35,5.480031881565566,100714,100714
1731078320970146955,35,-11.599945012064886,13605,13605
1731078321070147163,35,11.280049337497378,127841,127841
1731078321170147111,35,-9.120022942411936,26527,26527
1731078321270147239,35,-12.719938918478192,2250,2250
