time,target,error,control_output,wiops_output
1731078034476770123,50,50,264239,264239
1731078034576770121,50,6.479999129599982,59307,59307
1731078034676770219,50,-4.879946217652709,3003,3003
1731078034776770357,50,44.200008003988955,259570,259570
1731078034876770455,50,7.160041983158855,85152,85152
1731078034976770583,50,-0.7999349760832359,47208,47208
1731078035076770610,50,1.08001320839643,56061,56061
1731078035176770658,50,4.560021811189529,72448,72448
1731078035276770676,50,-3.1599904312017273,34275,34275
1731078035376770584,50,0.759954699158321,53172,53172
1731078035476770692,50,0.5200534383422877,52042,52042
1731078035576770860,50,0.9600823870615898,54114,54114
1731078035676770848,50,1.0799941295992994,54679,54679
1731078035776770845,50,1.71999855159995,57692,57692
1731078035876770923,50,-0.3199607504306101,47902,47902
1731078035976770851,50,1.3999650079748065,56001,56001
1731078036076770879,50,0.6000138319961295,52234,52234
1731078036176770836,50,0.7999788439908997,53176,53176
1731078036276770874,50,0.7200187263928797,52799,52799
1731078036376770952,50,4.640035380772403,71258,71258
1731078036476771210,50,-3.3998622283554525,31441,31441
1731078036576771549,50,0.6801671942332135,51045,51045
1731078036676771697,50,1.080072401492842,52929,52929
1731078036776771705,50,0.8000039359996833,51610,51610
1731078036876771773,50,6.520029566379897,78545,78545
1731078036976771921,50,-5.35991806732126,19517,19517
1731078037076771848,50,18.39997693198316,141996,141996
1731078037176771866,50,4.760008143198533,77766,77766
1731078037276771994,50,0.9200628223195793,59684,59684
1731078037376772182,50,1.0400920446269524,60250,60250
1731078037476772270,50,1.0000431199620508,60061,60061
1731078037576772378,50,0.5200534383422877,57801,57801
1731078037676772396,50,0.840008848798405,59307,59307
1731078037776772534,50,0.6400681167059972,58366,58366
1731078037876772772,50,1.0401165245226665,60250,60250
1731078037976772910,50,0.8400678407063751,59308,59308
1731078038076772908,50,0.7199990143999742,58742,58742
1731078038176773026,50,1.0000578199317758,60061,60061
1731078038276773284,50,0.48012776127037426,57613,57613
1731078038376773503,50,3.5201017909770798,71928,71928
1731078038476773470,50,-2.800017424005752,40554,40554
1731078038576773378,50,0.759954699158321,57318,57318
1731078038676773536,50,0.6000780518766788,56565,56565
1731078038776773634,50,0.9200480983528578,58072,58072
1731078038876773722,50,0.8000432959618919,57507,57507
1731078038976773650,50,0.8799646335745379,57883,57883
1731078039076773677,50,1.0000132299964193,58448,58448
1731078039176773655,50,0.7599891671976167,57318,57318
1731078039276773783,50,0.7200630783192565,57130,57130
1731078039376773951,50,1.0000823198617041,58449,58449
1731078039476773999,35,-14.239976364811348,-21515,-21515
1731078039576773937,35,33.23999890879932,221205,221205
1731078039676774025,35,-9.759960611234668,13102,13102
1731078039776774223,35,13.600042371916103,130934,130934
1731078039876774291,35,-10.119969318420864,13410,13410
1731078039976774539,35,11.440058428655096,121523,121523
1731078040076774827,35,-10.159869939574577,13960,13960
1731078040176774976,35,13.360032243551956,132407,132407
1731078040276774963,35,-10.040005855200768,16436,16436
1731078040376775031,35,-2.399974568017292,51030,51030
1731078040476775019,35,-10.040005404800645,9272,9272
1731078040576774957,35,19.399990327994004,159075,159075
1731078040676775045,35,-10.19996022403501,13817,13817
1731078040776775343,35,9.440076168573018,111737,111737
1731078040876775591,35,-10.039888301077013,14225,14225
1731078040976775849,35,11.440060784643176,121961,121961
1731078041076776008,35,-4.239937608499204,45683,45683
1731078041176776015,35,-20.07999614440027,-40469,-40469
1731078041276775983,35,33.079999385599805,228906,228906
1731078041376776041,35,-9.919973946415112,20710,20710
1731078041476776039,35,-3.4000007680000195,49454,49454
1731078041576776117,35,-10.239964712827522,11348,11348
1731078041676776345,35,15.360044779097901,140742,140742
1731078041776776483,35,-9.759938231285247,16834,16834
1731078041876776561,35,-2.6399706408229022,48841,48841
1731078041976776519,35,-10.160018967207968,7579,7579
1731078042076776516,35,21.399999591999986,168516,168516
1731078042176776554,35,-10.319982778406548,13206,13206
1731078042276776612,35,11.320013734392035,121626,121626
1731078042376776740,35,-10.359941939274321,13571,13571
1731078042476776748,35,14.320001654399867,138033,138033
1731078042576776716,35,-9.840014348804594,18599,18599
1731078042676776763,35,1.4800157543925962,72756,72756
1731078042776776761,35,-10.120000902400022,12305,12305
1731078042876776849,35,14.040018444783765,134158,134158
1731078042976777097,35,-1.4799095298243685,60224,60224
1731078043076777266,35,-23.039901912565767,-54568,-54568
1731078043176777283,35,33.120000319599946,228957,228957
1731078043276777331,35,-10.039978380810382,19938,19938
1731078043376777359,35,-10.679987209603581,10774,10774
1731078043476777597,35,21.200032843921832,173103,173103
1731078043576777545,35,-9.640023212812075,22328,22328
1731078043676777563,35,-8.239992216801404,24176,24176
1731078043776777621,35,-4.159977287213174,40992,40992
1731078043876777769,35,-9.759933755298043,9002,9002
1731078043976777797,35,21.24000385279892,167210,167210
1731078044076777855,35,-5.6799764056136866,37175,37175
1731078044176777802,35,-18.080028132414917,-31627,-31627
1731078044276777830,35,33.20000050399986,228965,228965
1731078044376777728,35,-9.720045614446526,21260,21260
1731078044476777745,20,-18.79999340400112,-32322,-32322
1731078044576777843,20,20.0,161901,161901
1731078044676777891,20,-22.759979475209853,-52558,-52558
1731078044776778140,20,14.0000149399628,128603,128603
1731078044876778278,20,-25.159937679286003,-70286,-70286
1731078044976778305,20,18.120000507599862,143949,143949
1731078045076778303,20,-24.80000089600002,-72438,-72438
1731078045176778241,20,17.99999875999923,139468,139468
1731078045276778409,20,-24.51992520652565,-74874,-74874
1731078045376778567,20,18.080003033595208,136137,136137
1731078045476778675,20,-24.59995183205202,-79005,-79005
1731078045576778793,20,18.04000231279727,132171,132171
1731078045676778931,20,-24.999937900085705,-84897,-84897
1731078045776779179,20,18.080004761588192,128374,128374
1731078045876779367,20,-24.59991615215764,-86768,-86768
1731078045976779325,20,18.11999921039967,124831,124831
1731078046076779433,20,-24.99995140005249,-92613,-92613
1731078046176779571,20,18.04000270479627,120446,120446
1731078046276779629,20,-25.159973807215195,-97467,-97467
1731078046376779657,20,18.040000548799846,116346,116346
1731078046476779855,20,-25.159910583377048,-101567,-101567
1731078046576779853,20,18.0399999608,112246,112246
1731078046676779861,20,-20.159996787200257,-79243,-79243
1731078046776779788,20,13.559995298796569,87349,87349
1731078046876779776,20,-24.960005395200646,-108411,-108411
1731078046976779924,20,18.120002782395883,104883,104883
1731078047076780162,20,-22.79989813624244,-100934,-100934
1731078047176780401,20,16.00000955997715,90984,90984
1731078047276780378,20,-24.360010202802343,-113095,-113095
1731078047376780356,20,18.039999568799907,96951,96951
1731078047476780334,20,-24.80000985600217,-119060,-119060
1731078047576780422,20,18.00000175999845,92847,92847
1731078047676780580,20,-24.439929784910937,-121073,-121073
1731078047776780568,20,18.079999769599972,89561,89561
1731078047876780615,20,-22.719979921609436,-115646,-115646
1731078047976780593,20,13.99999867999971,65327,65327
1731078048076780591,20,-25.120000902400022,-133351,-133351
1731078048176780629,20,18.040000744799716,80274,80274
1731078048276780637,20,-24.879996409600288,-136160,-136160
1731078048376780685,20,18.040000940799548,76335,76335
1731078048476780863,20,-24.119921466539793,-136082,-136082
1731078048576780880,20,18.040000333199945,72834,72834
1731078048676780868,20,-24.960005395200646,-144023,-144023
1731078048776780866,20,16.359999927199997,59970,59970
1731078048876780834,20,-24.760014323204587,-147918,-147918
1731078048976780832,20,18.1599999632,64646,64646
1731078049076780889,20,-18.639977975212553,-119376,-119376
1731078049176780807,20,11.99999343999462,31815,31815
1731078049276780945,20,-24.879938065685472,-156176,-156176
1731078049376781143,20,18.120003722392628,56741,56741
1731078049476781081,15,-29.680027701617178,-185437,-185437
1731078049576781199,15,13.04000231279727,23237,23237
1731078049676781367,15,-23.639935084909055,-163098,-163098
1731078049776781405,15,15.0,27491,27491
1731078049876781483,15,-23.67996982962353,-168285,-168285
1731078049976781681,15,15.0,22492,22492
1731078050076781659,15,-17.80000721600159,-142210,-142210
1731078050176781626,15,15.0,20880,20880
1731078050276781614,15,-11.120003134400374,-108520,-108520
1731078050376781602,15,15.0,23114,23114
1731078050476781670,15,-14.999979600013873,-126790,-126790
1731078050576781698,15,15.0,23114,23114
1731078050676781916,15,-14.359935995339534,-123408,-123408
1731078050776781994,15,15.0,23483,23483
1731078050876782172,15,-17.1599427553019,-137836,-137836
1731078050976782240,15,15.0,22239,22239
