time,target,error,control_output,wiops_output
1731078281013925656,50,50,264239,264239
1731078281113925744,50,0.8000432959618919,32560,32560
1731078281213925832,50,0.9200431903619872,33655,33655
1731078281313925910,50,0.4800386255698754,31859,31859
1731078281413926008,50,1.3600476671532817,36787,36787
1731078281513926035,50,0.40001339199638153,32266,32266
1731078281613926304,50,1.160131379246586,36513,36513
1731078281713926622,50,1.5201541659097515,38209,38209
1731078281813926840,50,0.2801083893637042,32369,32369
1731078281913927059,50,6.800094607792808,66987,66987
1731078282013927177,50,-5.519934486477304,5795,5795
1731078282113927204,50,39.88000273239926,242545,242545
1731078282213927312,50,3.080050673545273,69257,69257
1731078282313927480,50,0.760082723061025,58332,58332
1731078282413927518,50,1.5200184223929938,61911,61911
1731078282513927576,50,0.8400285127834621,58709,58709
1731078282613927684,50,2.240051580744293,65301,65301
1731078282713927782,50,-1.1999498240491775,48412,48412
1731078282813927750,50,0.7599842431949568,57641,57641
1731078282913927938,50,2.160089939030911,64234,64234
1731078283013928126,50,0.3200933982244081,55569,55569
1731078283113928194,50,4.960030627179172,77418,77418
1731078283213928202,50,-2.6399957888003414,40110,40110
1731078283313928350,50,0.8000728158922286,56309,56309
1731078283413928678,50,0.6001620314685354,55368,55368
1731078283513928776,50,1.4400475887533588,59323,59323
1731078283613928764,50,0.5999940719992907,55367,55367
1731078283713928732,50,0.7199842303949495,55932,55932
1731078283813928710,50,0.27998906159758974,53860,53860
1731078283913928807,50,1.2400472971541205,58381,58381
1731078284013928825,50,1.0800088055984105,57627,57627
1731078284113928753,50,0.9999647199745993,57250,57250
1731078284213928791,50,0.6000187719928647,55367,55367
1731078284313928869,50,1.000038219970186,57251,57251
1731078284413928987,50,0.6800581975313307,55744,55744
1731078284513929035,50,0.640023692788624,55556,55556
1731078284613928962,50,4.279966624375639,72696,72696
1731078284713929080,50,-2.67993783767335,38379,38379
1731078284813928998,50,0.9199597543669924,55330,55330
1731078284913928986,50,0.9599941151992937,55519,55519
1731078285013929024,50,0.6400187567928697,54012,54012
1731078285113929041,50,0.32000844559856745,52505,52505
1731078285213929089,50,1.4800232895888144,57968,57968
1731078285313929378,50,0.32014357478506383,52506,52506
1731078285413929526,50,-0.8799246977114521,46348,46348
1731078285513929594,50,1.3600330751775118,56896,56896
1731078285613929551,50,2.0399793771911305,60098,60098
1731078285713929629,50,0.2400388127697255,51622,51622
1731078285813929787,50,1.1200772302779782,55766,55766
1731078285913929775,35,-14.36000592320071,-25397,-25397
1731078286013929743,35,34.59999987199996,225076,225076
1731078286113929841,35,-11.439954488844606,1689,1689
1731078286213929858,35,32.480000428399926,227209,227209
1731078286313930137,35,-11.439870432761495,13806,13806
1731078286413930255,35,6.880033181560847,104035,104035
1731078286513930383,35,-11.839940044876748,9066,9066
1731078286613930571,35,20.12002797434741,171149,171149
1731078286713930559,35,-8.800005256000631,29900,29900
1731078286813930627,35,-13.039967332822215,2425,2425
1731078286913930825,35,33.68000261359482,241821,241821
1731078287013930863,35,-5.239984708805814,55532,55532
