time,target,error,control_output,wiops_output
1731078072559901470,50,50,264239,264239
1731078072659901448,50,0.27998906159758974,30111,30111
1731078072759901466,50,0.4000089279983925,30907,30907
1731078072859901453,50,4.759994118799234,54179,54179
1731078072959901441,50,-0.3600060432007268,29862,29862
1731078073059901609,50,-2.159912371347218,20142,20142
1731078073159901717,50,17.32003529436188,121846,121846
1731078073259901775,50,2.8400273527841335,53661,53661
1731078073359901713,50,0.6799694215810419,43489,43489
1731078073459901791,50,0.7600384071700432,43866,43866
1731078073559901768,50,0.8799887023974051,44431,44431
1731078073659901786,50,0.7600088631984008,43866,43866
1731078073759901864,50,2.880036753571332,53849,53849
1731078073859902002,50,-1.5199289024981155,32255,32255
1731078073959902070,50,0.9600333471773226,44485,44485
1731078074059901998,50,0.7599645471744694,43543,43543
1731078074159902046,50,1.1200234623887368,45239,45239
1731078074259902094,50,0.800023615988664,43732,43732
1731078074359902282,50,0.9600921950266681,44486,44486
1731078074459902279,50,0.11999850359995179,40530,40530
1731078074559902257,50,1.03998922879763,44862,44862
1731078074659902255,50,2.7599990551999767,52961,52961
1731078074759902303,50,-1.159975443211792,33834,33834
1731078074859902281,50,2.6399895807977103,53248,53248
1731078074959902288,50,-0.9599964328002528,35744,35744
1731078075059902346,50,0.7200285823834207,43655,43655
1731078075159902494,50,0.8800726974924089,44408,44408
1731078075259902562,50,1.1600332111774136,45727,45727
1731078075359902650,50,8.720036326368032,81326,81326
1731078075459902888,50,-7.1998638643240085,2214,2214
1731078075559903107,50,46.0800085847812,279641,279641
1731078075659903355,50,3.2001160637121586,77723,77723
1731078075759903393,50,0.4800188175928426,64914,64914
1731078075859903551,50,0.9600774830775762,67175,67175
1731078075959903489,50,0.43996927278094944,64726,64726
1731078076059903617,50,0.6800631295191906,65856,65856
1731078076159903815,50,0.7600974950069599,66233,66233
1731078076259903843,50,1.2000136639961738,68305,68305
1731078076359903800,50,0.7999788439908997,66421,66421
1731078076459903938,50,1.240067288707138,68493,68493
1731078076559904016,50,1.000038219970186,67363,67363
1731078076659904174,50,0.5200781782764778,65103,65103
1731078076759904322,50,0.9200726382924955,66986,66986
1731078076859904260,50,1.2399697687812576,68493,68493
1731078076959904258,50,1.0799990215999742,67740,67740
1731078077059904386,50,1.160062515119975,68117,68117
1731078077159904524,50,0.5600682271058446,65291,65291
1731078077259904692,50,0.760082723061025,66233,66233
1731078077359904810,50,0.8800579615316053,66798,66798
1731078077459904888,50,1.040038188770211,67551,67551
1731078077559904876,35,-14.200005904000705,-12389,-12389
1731078077659904954,35,33.56000112319912,231834,231834
1731078077759905162,35,-11.839902573002647,11231,11231
1731078077859905370,35,17.44003652472403,159151,159151
